collection,collection_synapse_id,file_synapse_id,file_name,file_type,version_number,created_on,modified_on
BraTS-GLI,syn59059776,syn64735496,BraTS-PTG supplementary demographic information and metadata.xlsx,FileEntity,1,2025-02-05T19:42:07.886Z,2025-02-05T19:42:07.886Z
BraTS-GLI,syn59059776,syn64314352,BraTS2024-BraTS-GLI-AdditionalTrainingData.zip,FileEntity,1,2024-12-03T01:37:47.748Z,2024-12-03T01:37:47.748Z
BraTS-GLI,syn59059776,syn60086071,BraTS2024-BraTS-GLI-TrainingData.zip,FileEntity,2,2024-05-29T03:57:01.288Z,2024-06-17T21:24:56.161Z
BraTS-GLI,syn59059776,syn61455507,BraTS2024-BraTS-GLI-ValidationData.zip,FileEntity,1,2024-06-24T23:22:37.521Z,2024-06-24T23:22:37.521Z
BraTS-GLI,syn59059776,syn59808905,CITATIONS.bib,FileEntity,1,2024-05-22T21:00:40.514Z,2024-05-22T22:37:04.500Z
BraTS-GoAT,syn68156890,syn60084285,CITATIONS.bib,FileEntity,1,2024-05-28T19:31:10.065Z,2025-06-05T21:51:25.436Z
BraTS-GoAT,syn68156890,syn68156891,README.md,FileEntity,1,2025-06-05T21:51:39.668Z,2025-06-05T21:51:39.668Z
BraTS-MEN-RT,syn59059779,syn64826221,BraTS-MEN-RT-0402-1.zip,FileEntity,1,2025-02-18T18:12:39.015Z,2025-02-18T18:12:39.015Z
BraTS-MEN-RT,syn59059779,syn60085033,BraTS2024-MEN-RT-TrainingData.zip,FileEntity,2,2024-05-28T21:50:38.481Z,2024-05-31T04:23:59.401Z
BraTS-MEN-RT,syn59059779,syn61484746,BraTS2024-MEN-RT-ValidationData.zip,FileEntity,1,2024-06-26T19:22:00.604Z,2024-06-26T19:32:19.840Z
BraTS-MEN-RT,syn59059779,syn59808907,CITATION.bib,FileEntity,1,2024-05-22T21:01:21.612Z,2025-06-24T16:35:59.119Z
BraTS-MEN-RT,syn59059779,syn65415290,Meningioma radiotherapy supplementary clinical data and imaging parameters for training and validation sets.xlsx,FileEntity,2,2025-03-11T00:00:33.236Z,2025-12-15T17:21:59.596Z
BraTS-MET,syn68156869,syn59808910,CITATION.bib,FileEntity,1,2024-05-22T21:01:36.944Z,2025-06-05T21:35:26.312Z
BraTS-MET,syn68156869,syn68156870,README.md,FileEntity,1,2025-06-05T21:34:50.305Z,2025-06-05T21:34:50.305Z
BraTS-PED,syn68156871,syn59808912,CITATION.bib,FileEntity,1,2024-05-22T21:01:54.065Z,2025-06-05T21:39:32.584Z
BraTS-PED,syn68156871,syn68156872,README.md,FileEntity,1,2025-06-05T21:39:16.084Z,2025-06-05T21:39:16.084Z
BraTS-Path,syn59761935,syn59808915,CITATION.bib,FileEntity,1,2024-05-22T21:02:16.796Z,2024-05-22T22:45:33.247Z
BraTS-Path,syn59761935,syn68156853,README.md,FileEntity,1,2025-06-05T21:18:09.803Z,2025-06-05T21:18:09.803Z
BraTS-SSA,syn59059780,syn59808916,CITATION.bib,FileEntity,1,2024-05-22T21:02:38.481Z,2025-06-05T21:18:42.738Z
BraTS-SSA,syn59059780,syn68156788,README.md,FileEntity,1,2025-06-05T20:47:27.530Z,2025-06-05T20:47:27.530Z
MLCube Resources,syn61956466,syn61987893,BraTS-GLI-2024-fastlane.tar.gz,FileEntity,2,2024-08-09T06:44:31.265Z,2024-08-09T09:28:21.079Z
MLCube Resources,syn61956466,syn61956214,BraTS-MEN-RT-fastlane.tar.gz,FileEntity,1,2024-08-03T20:40:47.631Z,2024-08-03T21:36:05.009Z
MLCube Resources,syn61956466,syn61956215,BraTS-Path-fastlane.tar.gz,FileEntity,1,2024-08-03T20:40:55.518Z,2024-08-03T21:36:29.284Z
MLCube Resources,syn61956466,syn61956504,BraTS2024-compat-test-mlcubes.tar.gz,FileEntity,5,2024-08-03T21:42:48.727Z,2024-08-12T19:17:21.067Z
