collection,collection_synapse_id,file_synapse_id,web_file_name,version_number,web_modified_on,local_status,match_method,local_path,local_name,case_count,nii_gz_count,modalities,local_size_bytes,local_size_human,notes
BraTS-GLI,syn59059776,syn64735496,BraTS-PTG supplementary demographic information and metadata.xlsx,1,2025-02-05T19:42:07.886Z,matched,md5_exact,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/BraTS-PTG supplementary demographic information and metadata.xlsx,BraTS-PTG supplementary demographic information and metadata.xlsx,,,none,98329,96.02 KiB,
BraTS-GLI,syn59059776,syn64314352,BraTS2024-BraTS-GLI-AdditionalTrainingData.zip,1,2024-12-03T01:37:47.748Z,matched_extracted,folder_name_and_case_pattern,/Volumes/External M2/Datos/TFM-datasets/training_data_additional,training_data_additional,271,1355,seg:271;t1c:271;t1n:271;t2f:271;t2w:271,5383272085,5.01 GiB,all cases have 5 expected files
BraTS-GLI,syn59059776,syn60086071,BraTS2024-BraTS-GLI-TrainingData.zip,2,2024-06-17T21:24:56.161Z,matched_extracted,folder_name_and_case_pattern,/Volumes/External M2/Datos/TFM-datasets/training_data1_v2,training_data1_v2,1350,6750,seg:1350;t1c:1350;t1n:1350;t2f:1350;t2w:1350,37960292693,35.35 GiB,all cases have 5 expected files
BraTS-GLI,syn59059776,syn61455507,BraTS2024-BraTS-GLI-ValidationData.zip,1,2024-06-24T23:22:37.521Z,matched_extracted,folder_name_and_case_pattern,/Volumes/External M2/Datos/TFM-datasets/validation_data,validation_data,188,752,t1c:188;t1n:188;t2f:188;t2w:188,5416660586,5.04 GiB,all cases have 4 expected files
BraTS-GLI,syn59059776,syn59808905,CITATIONS.bib,1,2024-05-22T22:37:04.500Z,matched,md5_exact,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/CITATIONS.bib,CITATIONS.bib,,,none,6667,6.51 KiB,
BraTS-GoAT,syn68156890,syn60084285,CITATIONS.bib,1,2025-06-05T21:51:25.436Z,matched,md5_renamed,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/CITATIONS(1).bib,CITATIONS(1).bib,,,none,16686,16.30 KiB,local name changed by duplicate filename handling
BraTS-GoAT,syn68156890,syn68156891,README.md,1,2025-06-05T21:51:39.668Z,matched,md5_shared,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/README.md,README.md,,,none,175,175 B,shared identical README for GoAT MET PED Path and SSA
BraTS-MEN-RT,syn59059779,syn64826221,BraTS-MEN-RT-0402-1.zip,1,2025-02-18T18:12:39.015Z,matched,md5_exact,/Volumes/External M2/Datos/TFM-datasets/TMF-dataset-small-files/BraTS-MEN-RT-0402-1.zip,BraTS-MEN-RT-0402-1.zip,,,none,22282019,21.25 MiB,
BraTS-MEN-RT,syn59059779,syn60085033,BraTS2024-MEN-RT-TrainingData.zip,2,2024-05-31T04:23:59.401Z,matched_extracted,folder_name_and_case_pattern,/Volumes/External M2/Datos/TFM-datasets/BraTS-MEN-RT-Train-v2,BraTS-MEN-RT-Train-v2,500,1000,gtv:500;t1c:500,11389837763,10.61 GiB,all cases have 2 expected files
BraTS-MEN-RT,syn59059779,syn61484746,BraTS2024-MEN-RT-ValidationData.zip,1,2024-06-26T19:32:19.840Z,matched_extracted,folder_name_and_case_pattern,/Volumes/External M2/Datos/TFM-datasets/BraTS-MEN-RT-Val-v1,BraTS-MEN-RT-Val-v1,70,70,t1c:70,1642002226,1.53 GiB,all cases have 1 expected file
